,Intersection,Lead,Arsenic,Lat,Lon
91,Alf Ave. @ Don Ann,38.0,0.0,30.26742,-97.69069
92,Alf@Springdale (BACK Yard),48.0,0.0,30.26879,-97.69349
93,Alf@Springdale (FRONT Yard),34.0,0.0,30.26879,-97.69349
94,Alta Vista Ave. @ Woodland,13.0,0.0,30.24406,-97.74318
95,Amherst @Eton,9.54,0.0,30.41321,-97.72101
96,Amherst Drive @Adelphi Drive,0.0,5.68,30.42151,-97.71563
97,Anarosa@Scofield Farms,4.63,0.0,,
98,Anderson Mill Rd. @ Blk. Oak,0.0,0.0,30.45491,-97.7706
99,Andre Zilker Rd@William Barton,20.27,0.0,30.26574,-97.76932
100,Andrew Zilker@William Barton,0.0,5.84,30.26574,-97.76932
101,Annie Oakley@Derringer,9.78,0.0,30.36771,-97.68783
102,Antero Dr@Steck,0.0,8.21,30.378,-97.75795
103,Antoinette Pl. @ Cabana Ln.,0.0,0.0,30.41919,-97.72171
104,Antone St. @Vaughan,7.85,0.0,30.29144,-97.70329
105,Arroyo Seco@Jim Hogg,19.5,0.0,30.33115,-97.73452
106,Arthur Stiles@ Lotus Ln. B,14.0,0.0,30.26071,-97.67823
107,Ashland@Greensboro,0.0,0.0,30.30873,-97.6639
108,Aspen Dale @Eton,7.18,0.0,30.41394,-97.72246
109,Aster Pass@El Salido,0.0,0.0,30.26759,-97.74299
110,Atlanta @Veterans,17.59,10.41,30.27572,-97.77157
111,Atlanta Street@Veteran's Drive,25.0,0.0,30.27572,-97.77157
112,Attar Cove @ Charing Cross,16.0,0.0,30.42898,-97.76721
113,Ave G@E. 41st,82.305,9.455,30.30327,-97.72939
114,Ave. H @ 46th St.,32.0,0.0,30.30929,-97.72431
115,Axis Cir@Vineyard Ridge,14.21,7.5,30.14696,-97.81805
116,Balcones Club@Crest Ridge Circle,22.28,0.0,30.43691,-97.78191
117,Balcones Dr@35th st.,23.91,0.0,30.31375,-97.76755
118,Balcones Woods Circle@183,18.69,0.0,30.40789,-97.74557
119,Ballycastle Tr@Avery Ranch,12.5,0.0,30.49395,-97.78339
120,Bandera@Springdale,9.0,0.0,30.28416,-97.68375
121,Banyan@Sugar Magnolia,8.84,0.0,30.26759,-97.74299
122,Barley Field Pass@Dusty Chisolm Trail,13.0,0.0,,
123,Barton Hills@Farnswood Circle,0.0,5.0,30.25305,-97.79123
124,Barton Springs@Stratford,22.846666666666664,0.0,30.26673,-97.77015
125,Basket Flower Bend@Prairie Verbena,0.0,5.41,,
126,Bath@Copperfield,0.0,0.0,30.39548,-97.6595
127,Baywood@Ceberry,9.32,0.0,30.36833,-97.74763
128,Bear Canyon@Sendero Verde,10.57,7.2,30.25448,-97.82923
129,Bear Creek @ FM 1826,21.0,0.0,30.16636,-97.94522
130,Beaver Brook Ln. @ Orr,0.0,0.0,30.1794,-97.79374
131,Beckett Rd@Davis Ln,6.49,11.469999999999999,30.20782,-97.86942
132,Beckett Rd@La Cresada Dr,8.23,7.66,30.20404,-97.87077
133,Beckett Rd@TaylorCrest,11.22,0.0,30.20581,-97.87044
134,Belclaire Ln@Blue Valley,17.15,0.0,30.18246,-97.79274
135,Belfast@Ridgehaven,23.8,0.0,30.3127,-97.69703
136,Belfry Pass@Briarcreek Loop,0.0,11.0,30.49283,-97.70469
137,Ben Crenshaw@Whitemarsh,9.335,4.355,30.28402,-97.84254
138,Ben White@Banister,7.8825,0.0,30.22811,-97.77912
139,Bender Dr@Holt Dr,11.16,0.0,30.20922,-97.83558
140,Berkeley@Cockburn,0.0,7.0,30.2103,-97.80998
141,Bickler@Academy,134.48,0.0,30.25099,-97.74178
142,Big Trail Cove@Wind River,0.0,8.0,30.41173,-97.74071
143,Bittern Hollow@Lincolnshire,0.0,8.02,30.39898,-97.6962
144,Blackberry @ Lunar,3.25,0.0,30.18579,-97.78686
145,Blacklock Drive@Limerick Avenue,15.0,0.0,30.41863,-97.69715
146,Blessing @ E. Anderson,15.0,0.0,30.33438,-97.69149
147,Bloomsbury@Downing,18.0,0.0,30.26759,-97.74299
148,Bloor Rd@Blue Bluff,9.5,8.04,30.30903,-97.59191
149,Blue Bluff@FM 969,1.7142857142857142,0.8571428571428571,30.26257,-97.62122
150,Blue Ridge@Winding River Trail,0.0,0.0,30.56258,-97.73624
151,Bluebonnet @ Lund,0.0,0.0,30.25159,-97.77413
152,Bluebonnet@Heather,0.0,0.0,30.26759,-97.74299
153,Bluebonnet@Hether,0.0,6.0,30.25262,-97.77347
154,Bob Harrison @ Navasota,90.5,0.0,30.27402,-97.72807
155,Bolm @ Mansell,74.0,0.0,30.26113,-97.69611
156,Bolm @ Perry ,11.0,0.0,30.2565,-97.68664
157,Bonita@Bland,28.16,9.49,30.30007,-97.7602
158,Bordeaux @ Tallegron,10.0,12.0,30.43033,-97.80573
159,Bordeaux@Talley Fan,0.0,0.0,30.43006,-97.80424
160,Bouldin@Johanna,40.96,0.0,30.24693,-97.76124
161,Bouldin@Live Oak,52.93,0.0,30.2458,-97.76197
162,Bradwood@Ardenwood,139.2,0.0,30.29948,-97.71556
163,Brentwood @ Elwood,31.0,0.0,30.33759,-97.72889
164,Briar@Milton,29.11,0.0,30.25018,-97.75987
165,Broadmoor @ Berkman -- veg,53.0,0.0,30.30633,-97.69736
166,Broadmoor@Belfast,13.0,0.0,30.30787,-97.70066
167,Brodie @ Elijah St.,14.0,0.0,30.20413,-97.83664
168,Brodie Lane@Elijah street,29.0,0.0,30.20413,-97.83664
169,Brodie@Bismark,4.435,0.0,30.14203,-97.84754
170,Brodie@Davis,0.0,10.14,30.19531,-97.8423
171,Brodie@Westgate,0.0,5.09,30.26759,-97.74299
172,Brookhill Dr@Manchaca,19.03,7.67,30.21474,-97.80242
173,Brookview@Schietler,29.695,0.0,30.23574,-97.88594
174,Brownie@Diamondback,12.5,0.0,30.36677,-97.68486
175,Brownie@Longspur,20.75,0.0,30.36493,-97.68749
176,Bullard @Fair Lane,42.27,19.1,30.33857,-97.74875
177,Bullard @Fairlan,24.76,8.12,30.33857,-97.74875
178,Bullard @White Rock,50.7,13.65,30.33964,-97.74843
179,Bullard Dr@Shoal Creek,18.67,7.01,30.34127,-97.74868
180,Bullard@West Shoal,18.0,0.0,30.33942,-97.74847
181,Bullard@White Rock,23.79,0.0,30.33964,-97.74843
182,Bunny Run@Cedar,11.82,9.18,30.34206,-97.80877
183,Burleson @ Metcalfe,34.0,0.0,30.22219,-97.73454
184,Burly Oak@Gains Mill,12.76,4.095,30.19819,-97.81403
185,Burlywood@Deercreek,4.5,4.5,30.34048,-97.77301
186,Burnet @North Loop,0.0,0.0,30.32583,-97.73963
187,Burnet Rd@Pegram,54.2075,0.0,30.3454,-97.73753
188,Burnet@Koenig,11.02,0.0,30.3348,-97.73983
189,Burnet@Pegram,68.68,17.53,30.3454,-97.73753
190,Burrell@Villanova,15.47,9.02,30.36002,-97.72125
191,Byron @ Durnberry,7.0,0.0,30.23553,-97.7861
