,Intersection,Lead,Arsenic,Lat,Lon
414,J.J. Seabrook Dr.@E. Martin Luther King Jr. Dr.,12.0,0.0,30.2846,-97.69061
415,Jain Ln@Stuart Cir,13.91,0.0,30.26252,-97.68695
416,Jamestown @ Chesapeake,14.0,0.0,30.35719,-97.70616
417,Jamestown@Alden,13.53,0.0,30.35665,-97.70685
418,Janes Ranch Road@Springfield,11.75,0.0,30.16142,-97.73176
419,Jasmine @ White Rock Dr.,23.0,0.0,30.33903,-97.74634
420,Jean Dr@ Applegate,13.76,0.0,30.37076,-97.68523
421,Jean Dr@Applegate,38.17,0.0,30.37076,-97.68523
422,Jean Drive@Grady,36.0,0.0,30.37318,-97.6839
423,Jester Blvd@Berrycone Cv,9.165,3.275,30.38272,-97.79881
424,Jillsue Cr@Wendts Way,13.52,0.0,30.4549,-97.80314
425,Jim Thorpe@Anderson Dr,12.87,10.68,30.15379,-97.84257
426,Joe Sayers @ Woodrow,16.0,0.0,30.32657,-97.73588
427,Johanna St@S. 2nd St,64.63,0.0,30.24607,-97.7584
428,Johnny Morris@Loyola,0.0,9.0,30.30019,-97.64827
429,KINNEY@COLLIER,48.20333333333334,8.209999999999999,30.25299,-97.76775
430,Kemp @ Clovis,15.0,0.0,30.2432,-97.69325
431,Kenwood Avenue@Mariposa,25.333333333333332,0.0,30.23943,-97.74305
432,Killingsworth Lane@Cameron Rd,7.28,0.0,30.3327,-97.6862
433,Kingsland Way@Hester Rd,17.42,0.0,30.25975,-97.6702
434,Kinney@Collier,19.45,12.87,30.25299,-97.76775
435,Koenig @ Burnet,0.0,0.0,30.3348,-97.73983
436,La Casa@Ann Arbor,9.0,7.0,30.24672,-97.77945
437,La Naranja Ln@Abilene Trl,13.22,14.79,30.21401,-97.87309
438,LaCasa@Ann Arbor,0.0,0.0,30.24672,-97.77945
439,Ladera Vista@Miramonte Cv,21.95,0.0,30.41756,-97.75655
440,Lafayette @ 30th,33.0,0.0,30.28652,-97.72053
441,Laird@Pequeno,18.89,7.77,30.33861,-97.73796
442,Lake Austin @ Mopac,27.0,0.0,30.28609,-97.77893
443,Lake Austin @Veterans Dr,19.2,0.0,30.27768,-97.77186
444,Lake Pines@Longdraw,0.0,6.57,30.5131,-97.72484
445,Lakeline @ Hwy 183,11.0,0.0,30.47998,-97.80186
446,Lakeline Blvd @Cypress Creek Blvd,0.0,0.0,30.48424,-97.78323
447,Lakeshore@Lady Bird Lake,38.0,0.0,30.2443,-97.72209
448,Land Grant Way@Cotton Gin,0.0,0.0,,
449,Langston@Burnell,0.0,11.0,30.31815,-97.669
450,Langston@Loyola,0.0,0.0,30.31497,-97.67402
451,Larkwood Dr@Berkman Dr. ,21.13,0.0,30.31074,-97.69459
452,Lauralan@Claxton,0.0,0.0,30.24498,-97.90754
453,Layola Ln@Dubuque Ln,41.34,10.04,30.26759,-97.74299
454,Leeward@Palisade,28.76,10.05,30.34177,-97.784
455,Lemens Spice Trail@4 Iron Dr. ,15.07,0.0,30.43636,-97.7801
456,Lemens Spice Trail@Four Irons,7.913333333333334,1.7766666666666666,30.43636,-97.7801
457,Limon Ln@S. 4th St.,0.0,0.0,30.23518,-97.7676
458,Linda@Wheless,15.4,7.05,30.31486,-97.6899
459,Live Oak Street@East Side Drive,58.37,0.0,30.23975,-97.7477
460,Live Oak@Schriber,16.52,6.2,30.23581,-97.74289
461,Lone Oak Tr@Jones Rd,8.285,0.0,30.2283,-97.80945
462,Longwood@Tall Oaks,7.62,4.1,30.22175,-97.99194
463,Loop 1@Enfield,53.81,0.0,30.278824,-97.7519266
464,Lorrain@13th ,29.0,12.0,30.27982,-97.7557
465,Lott@Nickols,50.47,0.0,30.27681,-97.68465
466,Lovely Ln@Yucca Hill,14.84,8.52,30.17832,-97.75334
467,Loyola Lane@Willamette,0.0,9.0,30.31595,-97.67491
468,Lupine@Upland,12.24,0.0,30.24389,-97.73232
469,Lynridge@Dubuque Ln,19.91,0.0,30.31726,-97.66517
470,MKL @ EM Franklin,59.0,0.0,30.28599,-97.69712
471,MLK @ Airport,36.0,0.0,30.28254,-97.70396
472,MLK @ EM Franklin,64.0,0.0,30.28375,-97.69614
473,MLK @ Springdale,21.0,0.0,30.28585,-97.68263
474,MLK Jr@EM Franklin,9.23,0.0,30.28375,-97.69614
475,MLK@Clifford,0.0,0.0,30.28195,-97.70771
476,MLK@Greenwood,9.23,5.09,30.28344,-97.69813
477,MLK@Hilldale,15.01,0.0,30.28668,-97.67156
478,MLK@Hilldale Dr,25.38,0.0,30.28668,-97.67156
479,MLK@Springdale,0.0,0.0,30.28585,-97.68263
480,MLK@Vance Cir,108.3,22.11,30.19503,-97.77704
481,Madison Ave@Woodrow Ave,19.0,11.0,30.34414,-97.72524
482,Mahone@Burnet,21.07,0.0,30.35813,-97.73031
483,Maine@Jamestown,0.0,0.0,30.3552,-97.71255
484,Malone Dr.@Malone Court,15.07,9.0,30.18148,-97.85466
485,Mancha @ TX Hwy 71,52.0,0.0,30.23676,-97.83763
486,Manchaca@Edgeware  ,0.0,0.0,30.26759,-97.74299
487,Manchaca@Hwy 71,0.0,0.0,30.26759,-97.74299
488,Manchaca@William Cannon,0.0,10.0,30.26759,-97.74299
489,Manor @Overbrook,38.22,12.29,30.30406,-97.6818
490,Manor Rd. @ EM Franklin,19.0,0.0,30.29008,-97.69406
491,Manor Rd.@Rogge,0.0,0.0,30.30455,-97.6813
492,Manowar@Whirlaway,10.0,0.0,30.26759,-97.74299
493,Mapleleaf Dr. @Dogge,24.11,0.0,30.30763,-97.69086
494,Marga Lane@Drew Lane,12.5,20.5,30.16998,-97.83335
495,Mariposa@Parker,19.29,0.0,30.23519,-97.7351
496,Matthews@Forest Wood Rd. ,16.77,0.0,30.19662,-97.80027
497,McBeet Vaugh@Gaven,35.59,0.0,30.26759,-97.74299
498,McCullough St@Spring ,26.1,0.0,30.30085,-97.76439
499,McCullough St@St. Anthony,10.33,8.13,30.30008,-97.76254
500,Meadgreen@Parkfield ,9.56,0.0,30.38175,-97.69796
501,Meadgren@Humington,0.0,0.0,30.38175,-97.69704
502,Meadow Way@Martin Crossing,7.83,0.0,30.23397,-97.71542
503,Meadowgreen Dr@Humington Dr,0.0,0.0,30.23711,-97.93696
504,Meadowood Dr@Fred Morse Dr,25.67,0.0,30.31899,-97.67088
505,Meander@Redonodo,16.12,0.0,30.26759,-97.74299
506,Mearns Meadow Blvd@Rutland Drive,0.0,0.0,30.36698,-97.70063
507,Melridge Pl@Bluebonnet Ln,21.31,10.93,30.25629,-97.77109
508,Merriwood Dr@Craigmont Dr,12.88,0.0,30.19976,-97.7808
509,Metcalfe Rd@Reeves,0.0,8.99,30.22628,-97.73681
510,MoPac @ C.Chavez,17.5,0.0,30.34196,-97.75325
511,Montopolis@Hwy 71,0.0,0.0,30.2418756,-97.6921066
512,Mopac @ Wm. Cannon,16.0,0.0,30.18106,-97.75034
513,Morning Glory Trl@Bristle Oak,16.33,13.86,30.45154,-97.82038
514,Morris@Anderson Mill,12.59,0.0,30.45623,-97.76655
515,Mount Bonnell@Twin Valley Cove,9.91,0.0,30.34875,-97.78047
516,Mountaineer Lane@East Wind Drive,11.67,0.0,30.34471,-97.71747
517,Mountaineer@Sugar Magnolia,0.0,5.23,30.34424,-97.71654
518,Moutainclimb@Dry Creek,16.8,0.0,,
519,Mustang Lane@Country Estate,18.0,26.0,30.42202,-97.73674
520,N Platt River Drive@Caravilli Drive,12.43,0.0,30.1575,-97.81701
521,N. Creek@Rundberg,14.67,7.91,30.35997,-97.69181
522,Nairn@Latta,0.0,7.35,30.2127,-97.85205
523,Navasota@14th St.,400.0,0.0,30.27448,-97.72818
524,Navasota@Lambie,19.22,0.0,30.26759,-97.74299
525,Neans Dr@Cripple Creek ,12.82,0.0,30.37528,-97.70178
526,Needham @ Whalebridge Lns,11.0,0.0,30.1914,-97.89482
527,Nelson Ranch Loop @ Anderson Mill Rd.,0.0,0.0,30.45491,-97.7706
528,New Hampshire @ Fairfield,20.0,0.0,30.35912,-97.70905
529,Newfieldt@Enfield,22.18,0.0,30.28564,-97.76328
530,Newning@Pecan Grove,32.76,0.0,30.24924,-97.74459
531,Newning@Riverside,13.56,0.0,30.26759,-97.74299
532,Nickols @ Webberville,22.0,0.0,30.26667,-97.70822
533,Nile @ Pleasant Valley,39.0,0.0,30.26885,-97.71174
534,Nile @Pleasant Valley,32.26,0.0,30.26885,-97.71174
535,Nile@Pleasant Valley,16.23,0.0,30.26885,-97.71174
536,Niles@Woodlawn,77.58,0.0,30.28641,-97.75868
537,Norman Trail@Slaughter,19.86,9.23,30.19313,-97.85866
538,North Loop@Avenue H,16.21,0.0,30.31919,-97.72537
539,Northcross Dr@Foster Lane,11.82,0.0,30.3568,-97.7365
540,Northeast Dr@Arnold,9.58,0.0,30.31045,-97.67357
541,Northeast@Leigh,30.91,8.5,30.29295,-97.75656
542,Northridge@Belfast,23.0,0.0,30.31343,-97.69657
543,Nutty Brown@Signal Hill,16.6,0.0,30.19163,-97.97138
544,Oak Hollow Circle@Quail Valley Blvd.,17.0,0.0,30.3776,-97.70897
545,Oak Plaza @ Walnut,16.0,0.0,30.37955,-97.67256
546,Oakwood Dr@Scurry St,8.75,7.83,30.38273,-97.6777
547,Oakwood Glen Dr. @ Spider Lily,5.0,0.0,,
548,Oakwood Glen Dr. @ Spider Lily -- ANNEX,8.0,0.0,,
549,Oatmeal@Fairland,0.0,0.0,30.43074,-97.66014
550,Ohlen @Lanier Dr.,36.5,0.0,30.36095,-97.72642
551,Old Bastrop Hwy@US 183,8.89,7.15,30.22876,-97.68205
552,Old Kimbro Rd@Us-290 East,10.73,10.33,,
553,Old Sayer @VFW Road,0.0,0.0,30.3921,-97.66973
554,Old Sayers@Deep Sands ,0.0,0.0,30.26759,-97.74299
555,Oltorf@Schreiber,15.94,0.0,30.23465,-97.74371
556,One Oak Rd@Brush Country,10.4,0.0,30.21977,-97.84401
557,Open Range Trl@Abilene,18.19,0.0,30.22096,-97.86695
558,Oriole@E. Garrett Run,25.53,0.0,30.3663,-97.68785
559,Oriole@Garrett Run,9.223333333333334,1.8099999999999998,30.3663,-97.68785
560,Oriole@Longspur,16.0,0.0,30.36495,-97.68791
561,Oxford @ Valeria,55.5,0.0,30.24977,-97.7709
562,Paddle Bend Springs@IH35,19.65,11.765,,
563,Palma Plaza @Woodlawn,117.51,23.6,30.2826,-97.76081
564,Palma Plaza@Marshall Lane,210.0,0.0,30.28119,-97.75653
565,Palo Blanco@Pine Place,0.0,0.0,30.19458,-97.74975
566,Pandora@Sol Wilson,68.94,0.0,30.27496,-97.70582
567,Parmer @Lamplight Village,2.72,0.0,30.41577,-97.69596
568,Parmer@Canyon Ridge,0.0,0.0,30.40238,-97.67022
569,Patterson Ave. @ Francis Ave.,82.0,0.0,30.27768,-97.7659
570,Patterson Rd@Bee Cave Rd,0.0,8.32,30.31318,-97.88132
571,Patton Ranch Rd.@Vega,31.0,0.0,30.24246,-97.85748
572,Payne@Arroyo Seco,29.57,7.3,30.33712,-97.73247
573,Peach Lane@Rose Road,0.0,6.0,30.19615,-97.75277
574,Pease@Norhumberland,36.53,0.0,30.26759,-97.74299
575,Pecan@E. Walnut Dr,51.47,0.0,30.3502,-97.69854
576,Pecan@Heatherwilde,175.46,0.0,30.26759,-97.74299
577,Peggy St@Wheeless,26.62,0.0,30.31569,-97.68803
578,Pen@Vega Ave,10.0,0.0,30.26759,-97.74299
579,Pennsylvania @ Greenwood ,153.0,0.0,30.27551,-97.69697
580,Peregrine Falcon@Purple Heron,15.0,0.0,30.26876,-97.81054
581,Perez Street@JJ Seabrook Dr. ,69.145,13.56,30.28211,-97.69255
582,Perry @ Bolm,12.0,0.0,30.2565,-97.68664
583,Perry Ln@Fairview,26.67,18.86,30.32737,-97.76016
584,Perthshire@Bromcade,17.39,0.0,30.26759,-97.74299
585,Pewter Ln@Button Bend Rd.,15.98,0.0,30.20072,-97.73981
586,Pfenig@Rocky Creek,0.0,0.0,30.34048,-97.77301
587,Pheasant Rock@Margit,0.0,0.0,30.44507,-97.76167
588,Philomena@Matti,0.0,6.89,30.29994,-97.70292
589,Picket Rope@Cinchring,0.0,6.69,30.41518,-97.68381
590,Pickfair Dr@Spicewood Pkwy,18.91,6.06,30.44334,-97.80637
591,Pincea Pl@Trail Ridge Pass,8.95,0.0,30.34101,-97.75753
592,Pinehurst@LaCosta,0.0,0.0,30.14313,-97.78875
593,Piney Ridge@Laurel Ln,0.0,0.0,30.29658,-97.73766
594,Pinnacle @Peregrine Falcon,0.0,0.0,30.27088,-97.81071
595,Platt Ln@FM 973,8.666666666666666,1.5,30.2331,-97.62701
596,Pleasant Valley@Kuhlman,57.6,0.0,30.26667,-97.71058
597,Plymouth @ Jameson,12.0,0.0,30.357,-97.70922
598,Ponca Drive@Thrasher Lane,4.666666666666667,3.0,30.23679,-97.69434
599,Poncha Pass @ La Concha Pass,6.0,0.0,30.2264,-97.87693
600,Poplar@Maple,0.0,0.0,30.26759,-97.74299
601,Poquito @Rosewood,25.95,0.0,30.26985,-97.71803
602,Post Oak@Bouldin,199.71,0.0,30.2578,-97.75458
603,Potomac Circle@Shenandoah,11.84,5.49,30.34694,-97.69133
604,Pradera@Fireoak,10.62,0.0,30.4227,-97.77116
605,Prairie Hen Ln @ Hidden Quail,40.5,0.0,30.39418,-97.70064
606,Pravada@Escondido,0.0,0.0,30.26759,-97.74299
607,Prock @ Springdale ,0.0,0.0,30.2707,-97.69227
608,Ptarmigan@Prarie Hen Lane,9.34,7.01,30.39213,-97.70308
609,Quick Hill@Travesia,0.0,7.0,30.47229,-97.69058
610,Racoon Run@Silvermine Dr,13.09,5.965,30.24504,-97.88995
611,Rainey@Rivier,13.86,0.0,30.26759,-97.74299
612,Ray C. Ewry Ln@J Weism,0.0,0.0,,
613,Reagan Terrace@Kenwood,22.04,10.0,30.24424,-97.74036
614,Red Willow @ Benjamin Dr.,14.0,0.0,30.22612,-97.7327
615,Redd St@Diane Dr,27.88,10.6,30.2247,-97.78465
616,Reed Dr@Randolf,13.76,0.0,30.26759,-97.74299
617,Ribbecke@Webberville,30.21,0.0,30.27935,-97.68289
618,Richcreek@St. Louis St.,17.57,0.0,30.34959,-97.73233
619,Ridgehaven@Belfast,55.15,0.0,30.3127,-97.69703
620,Ridgemont Dr. @Nassau,8.535,0.0,30.31245,-97.70063
621,Ridgeway@Oak Spring,47.82,0.0,30.2766,-97.69839
622,Ridgeway@Sol Wilson,10.59,0.0,30.24292,-97.75565
623,Rio  Pass@Uray Dr,0.0,8.44,30.3166,-97.65357
624,Riverside@Newning,14.23,0.0,30.25351,-97.74379
625,Riviera Dr. @Lakeline Blvd,0.0,0.0,30.47531,-97.81518
626,Robin Road@FM 713,0.0,9.0,30.35319,-97.70878
627,Robinson@Concordia,38.66,0.0,30.29237,-97.71985
628,Rock Terrace Dr.@Barton Skyway,0.0,0.0,30.25183,-97.78537
629,Rockmoor@Steverson,12.37,0.0,30.30016,-97.77906
630,Rockshelf ln@Stone Forrest,9.75,0.0,30.55963,-97.74026
631,Rockwod@Charlwood Dr,6.89,0.0,30.3661,-97.73412
632,Rockwood @ Steck,15.5,4.0,30.36465,-97.73505
633,Rockwood Ln@Penny Ln,12.33,0.0,30.36714,-97.73349
634,Rockwood@Charlwood,0.0,0.0,30.3661,-97.73412
635,Rodeo Dr@Slow Poke,0.0,7.34,30.42806,-97.69212
636,Rollingwood Dr@Vale,46.95,8.84,30.26976,-97.78073
637,Rookbridge@Fair Haven,18.42,0.0,30.26759,-97.74299
638,Rosedale@W. 39th 1/2,29.01,0.0,30.30934,-97.74662
639,Rosemary Ln@Oak Plaza,40.47,0.0,30.35102,-97.69738
640,Rosewood@Webberville,49.95,0.0,30.27243,-97.70486
641,Rowood @ Airport Blvd.,20.0,0.0,30.29929,-97.71081
642,Royal Dublin@Pasatiempo,8.04,0.0,30.49619,-97.76011
643,Rte 1431@New Hope Dr.,0.0,0.0,30.46366,-97.80036
644,Rundberg@Teasdale,8.14,0.0,30.35405,-97.6815
645,Rundburg@Teasdale,0.0,3.5,30.14767,-97.77148
646,Rutherford Ln@Furness Dr,0.0,5.31,30.3406,-97.69017
647,Rutland Drive@Parkfield Drive,30.0,13.0,30.36924,-97.70551
648,S Lamar@Gibson,24.0,0.0,30.25495,-97.76216
649,S. 1st @ Ramble Ln.,13.0,0.0,30.2113,-97.77926
650,S. 1st @ Stassney,18.0,0.0,30.20844,-97.78154
651,S. 4th St@Limon Ln,9.0,0.0,30.23518,-97.7676
652,S. Congress@Sheraton,8.4,0.0,30.21522,-97.7688
653,S. Manchaca@Frate-Barker,11.74,0.0,,
654,S. Mary Moore Searight@Slaughter Lane,0.0,0.0,30.17392,-97.80743
655,S. Redondo @ Meander,16.0,13.0,30.28093,-97.68108
656,S. Sledge@3rd St,8.82,10.89,30.26477,-97.74212
657,SE Inner Loop@Rockride Ln,0.0,4.91,,
658,Saddle @ Black Angus,9.0,0.0,30.42275,-97.73079
659,Sage Hollow@Cricket Hollow,12.91,0.0,30.38544,-97.70244
660,Sahara@Libyan,15.84,0.0,30.20798,-97.79263
661,Salem Walk Dr@Cedar Glen,8.61,0.0,30.21028,-97.78342
662,San Lucas Ln@Kavai ln,0.0,0.0,30.17107,-97.73141
663,Sandy Bottom @Blue Pond Dr,12.16,6.5,,
664,Santa Cruz Dr@Duval,14.74,0.0,30.41313,-97.73285
665,Santa Maria @Matamoros,50.3,0.0,30.25789,-97.71843
666,Santa Maria@Pedernales,113.0,0.0,30.2569,-97.71555
667,Sara Dr@Ebert Ave,23.99,0.0,30.26764,-97.68712
668,SawyerFay Ln@Jack Ryan Ln,0.0,7.87,30.16562,-97.79749
669,Scales @Mattie,0.0,0.0,30.29491,-97.70274
670,Scales@Mathe,8.81,0.0,30.26759,-97.74299
671,Scenic Brook Dr@Grove Crest ,0.0,5.43,30.23649,-97.88397
672,Schriber @ Live Oak,17.0,0.0,30.23581,-97.74289
673,Scofield Ln@Rampart St,12.49,0.0,30.4187,-97.68999
674,Scotland Well @ Caira Cove,16.0,0.0,30.4265,-97.79659
675,Scotland Well Dr@Spicewoods Springs Rd,0.0,1.9579999999999997,30.42252,-97.7936
676,Scotland Well Drive@Tweedsmuir Drive,5.97,0.0,30.42364,-97.79557
677,Sendero Hill@Alsace Tr,11.73,8.34,30.29128,-97.6467
678,Sentinel Hill @Heritage Oaks,0.0,0.0,30.21,-97.99036
679,Sentinel Hill@Coach House,7.5,6.5,30.20907,-97.99611
680,Sentinel Hill@Heritage Oaks,7.46,0.0,30.21,-97.99036
681,Serene Hills Dr@Serene Hill Ct,10.63,0.0,30.34369,-97.99768
682,Seviall Dr@West Sequoia,12.48,0.0,30.2955,-97.74095
683,Sevilla Dr@East Esparada,16.07,8.29,30.32815,-97.68652
684,Shadowood@Teakwood,21.0,0.0,30.35864,-97.72581
685,Sharpes@Debba,0.0,8.0,30.37286,-97.93736
686,Shavano Dr.@Wolftrap,0.0,9.0,30.18337,-97.85894
687,Shelley @W. 9 1/2 St.,100.69,12.23,30.27592,-97.75597
688,Shoal Creek BLvd@Great Oaks Parkway,20.71,10.04,30.31872,-97.74535
689,Shoal Creek BLvd@Silverleaf Dr.,3.19,1.975,30.35346,-97.74061
690,Showplace Ln@IH35,19.81,0.0,30.3612,-97.68657
691,Silk Oak@Bradner,8.42,11.31,30.18612,-97.83852
692,Silo Valley Dr.@Long Day Dr.,0.0,0.0,30.35877,-97.64483
693,Silver Creek Dr. @Council Bluff Dr. ,0.0,0.0,30.43304,-97.7178
694,Silvermine Dr@Litte Deer Crossing,13.81,0.0,30.24131,-97.89142
695,Single Trace @ Townhill,17.0,0.0,30.44372,-97.68842
696,Sisquoc Formation View@Alayna Cove,11.4,0.0,30.36546,-97.65346
697,Slaughter @ Manchaca,30.0,0.0,30.20064,-97.87165
698,Slaughter @Sydney Marilyn ,0.0,0.0,30.1647,-97.79661
699,Slaughter Lane@Texas Oaks,0.0,0.0,30.17381,-97.81442
700,Slaughter@Bradshaw Dr,0.0,0.0,30.26759,-97.74299
701,Slaughter@Brasher,0.0,0.0,30.17728,-97.83695
702,Slippery Elm@Bristle Oak,0.0,0.0,30.45873,-97.81471
703,Slughter@Dradshaw,10.52,0.0,30.26759,-97.74299
704,So Congress @Ainsworth Street,30.93,0.0,30.20328,-97.77535
705,Sol Wilson@Community Garden,60.4,0.0,30.27515,-97.70464
706,Sonnet Ave@Westchester,0.0,0.0,30.36549,-97.74585
707,Sout Ridge Lane@Rocky Ridge Rd,12.73,0.0,30.41989,-97.94353
708,South 5th@Terrace Hill Dr,11.79,0.0,30.23705,-97.76763
709,Speedway @43rd,140.0,0.0,30.30642,-97.72984
710,Speer Lane@Emerald Forest,6.5,0.0,30.20337,-97.79219
711,Spicewood Springs@Yaupon,0.0,0.0,30.39097,-97.77685
712,Spicewood@Four Iron,0.0,0.0,30.43163,-97.77829
713,Spring Meadow@Knuckles Crossing,0.0,11.0,30.19741,-97.73625
714,Spring@Ridgeway,50.03,0.0,30.27378,-97.70428
715,Springdale Rd. @ Breeds Hill,22.0,0.0,30.33848,-97.64871
716,Springdale@Munson St.,23.0,0.0,30.26971,-97.69291
717,St. Edwards Dr@Eastside Dr,9.79,0.0,30.23147,-97.75106
718,Star Gazer Way@Spring Brook,0.0,0.0,,
719,Stardust@Shoal Creek,28.176666666666666,2.5533333333333332,30.35232,-97.74172
720,Stokes@Tillery,210.3,0.0,30.26417,-97.70305
721,Stonebridge Drive@Rutland Drive,0.0,0.0,30.36885,-97.70467
722,Suffolk@Belfast,35.83,0.0,30.30905,-97.69931
723,Summit Hill Dr@Scenic Dr,0.0,0.0,,
724,Summit@Prairie Lane,11.74,0.0,30.47435,-97.68372
725,Sunbright@FM 2001,7.0,0.0,30.26759,-97.74299
726,Sunny Slope @ RR 258,70.0,0.0,30.29887,-97.76149
727,Sunshine @ Lamar,0.0,0.0,30.31483,-97.73652
728,Sunshine Dr. @49th,39.0,0.0,30.31787,-97.73489
729,Sunshine Dr@49th,34.32,0.0,30.31787,-97.73489
730,Sunshine Dr@51st,41.15,0.0,30.32939,-97.72704
731,Sunshine Garden @ 48th St. N. Lamar,23.0,0.0,30.31483,-97.73652
732,Sunshine@Lamar Blvd,25.08,8.66,30.31483,-97.73652
733,Sunshine@W. 49th,35.16,0.0,30.31787,-97.73489
734,Susquehanna Lane@Dubuque,0.0,8.0,30.31532,-97.66661
735,Susquehanna Lane@Manor,0.0,0.0,30.31309,-97.66501
736,Swearingen@Wiginton,9.025,0.0,30.38963,-97.6968
737,Tacon@Pecan,0.0,7.0,30.26759,-97.74299
738,Taeback@Church Canyon,0.0,7.0,30.36099,-97.63832
739,Tahoe Trail@Jones Rd,21.25,11.31,30.22476,-97.80216
740,Tamarack Trl@Manhasset,23.32,8.91,30.43018,-97.71546
741,Tanglebriar Tr@El Salido,0.0,8.14,30.45702,-97.82146
742,Taylor Gaines@Bellair Dr.,0.0,0.0,30.24122,-97.73445
743,Taylor St. @San Marcos St.,108.79,0.0,30.25796,-97.73581
744,Teakwood @ Shadowwood Dr.,25.0,12.0,30.35864,-97.72581
745,Terrace @ Eastside,19.0,0.0,30.24198,-97.74675
746,Terrace Drive@Newning,36.0,0.0,30.24282,-97.74833
747,Tesoro@Green Riviers,15.635,0.0,30.4465,-97.75067
748,Thames Dr@Wellington,12.67,0.0,30.30933,-97.68704
749,Tillery@Thompson,16.95,0.0,30.2674,-97.70161
750,Timberline Dr@Edgegrove,0.0,10.86,30.27334,-97.78896
751,Timberline@Rollingwood Dr,11.0,0.0,30.26759,-97.74299
752,Tiombe Bend@La Cressada Dr.,0.0,0.0,30.2065,-97.86491
753,Tom Miller@Antone,0.0,0.0,30.29135,-97.7068
754,Tom Wooten@Scott Island,0.0,0.0,30.35626,-97.78716
755,Tom Wooten@Tom Wooten,4.68,3.08,30.35497,-97.7872
756,Tomanet Trail@Chromite,0.0,0.0,30.42326,-97.69611
757,Towbridge Circle@Winslow Court,0.0,0.0,30.14696,-97.81805
758,Townes Ln@Hillview,22.29,8.15,30.2997,-97.76916
759,Tracy Lynn Ln@E. Leslie Cir,22.74,0.0,30.25563,-97.68712
760,Trail Crest Circ@Knob Oak,6.536666666666666,0.0,30.24921,-97.82874
761,Trailcrest Circle@Knob Oak,0.0,4.57,30.24921,-97.82874
762,Trailhead Dr. @Westlake Dr. ,19.27,11.85,30.33398,-97.81028
763,Travis Country Circle@Travis Green,8.15,0.0,30.25914,-97.8412
764,Travis County Circle@Canyonwood,4.073333333333333,0.0,30.24249,-97.82796
765,Travis@Belmal,341.32,0.0,30.26759,-97.74299
766,Treadwell St. @ Garner,0.0,8.0,30.25866,-97.76646
767,Truman Heights/Bunch @ Samuel Houston,18.0,0.0,,
768,Upslope Dr@La Concha Pass,11.086250000000001,4.9675,30.23029,-97.87331
769,Vallecito Cove@Vallecito Drive,0.0,0.0,30.42174,-97.76746
770,Vallejo@Hardy,17.77,14.28,30.34288,-97.73491
771,Valley Oak Dr.@Hancock Dr.,56.0,0.0,30.3314,-97.7569
772,Vanderbilt Lane@Duguesne Dr,14.39,0.0,30.32027,-97.68171
773,Vasquez@Montana,15.0,0.0,30.2307,-97.69403
774,Vega @Southwest Parkway,16.763333333333332,0.0,30.24953,-97.85305
775,Ventus @ Altum St.,13.0,0.0,30.25814,-97.68417
776,Veterans  Dr.@Atlanta ,0.0,0.0,30.27572,-97.77157
777,Vineland @ E. 40th,16.0,0.0,30.29198,-97.70921
778,Vineland@E. 40th St.,0.0,0.0,30.29198,-97.70921
779,Virginia Dare Lane@Magna Carta Loop,0.0,0.0,30.33661,-97.64835
780,W 30th St@ Beverly Rd,45.31,0.0,30.30336,-97.75619
781,W. 10th@Maufrais,21.34,0.0,30.27769,-97.75761
782,W. 39 1/2@Peterson,32.92,0.0,30.37329,-97.96914
783,W. 48th@Chiappero,32.61,13.94,30.32263,-97.74882
784,W. 9th@Henderson,62.855,0.0,30.27361,-97.75171
785,W. Lisa Dr@Isabelle,36.84,0.0,30.33571,-97.71214
786,W. Live Oak St.@2nd St.,80.82,0.0,30.24536,-97.76055
787,W. Mary St.@S 2nd ,13.01,0.0,30.24696,-97.75783
788,W. New Hope @ FM 1431,18.5,0.0,30.54826,-97.74511
789,Walker@Kemp St,18.841666666666665,0.0,30.23914,-97.69592
790,Waller @ I-35,22.0,0.0,30.25388,-97.73507
791,Waller St@Flores St,17.18,0.0,30.25351,-97.73555
792,Waller St@Nash Hernandez,21.76,0.0,30.25242,-97.73549
793,Waller Street@Clermont Ave,24.59,0.0,30.25434,-97.73517
794,Waller@Clermont,14.666666666666666,0.0,30.25434,-97.73517
795,Waller@Flores,0.0,0.0,30.25351,-97.73555
796,Waller@Lambie,4.5,0.0,30.25527,-97.73474
797,Wally Ave. @ Springdale,46.0,0.0,30.28174,-97.68533
798,Walnut @ Hemlock,30.666666666666668,0.0,30.28749,-97.71512
799,Walnut @ Manor,0.0,0.0,30.2851,-97.71417
800,Walnut Ave. @ 32nd,14.0,0.0,30.28618,-97.71441
801,Walton Ln. @ Boggy Creek,12.0,0.0,30.25881,-97.68801
802,Wandering Way@Brushy View,0.0,0.0,30.36674,-97.66511
803,Waterson @ Mopac,190.0,0.0,30.34196,-97.75325
804,Waterston@Woodlawn,318.58,26.46,30.28196,-97.76136
805,West 12th Street@Possum Trot,44.800000000000004,7.6,30.28585,-97.77052
806,West Ave. @9th,64.0,0.0,30.27305,-97.74954
807,West Bank Dr@Bee Cave Road,3.32,0.0,30.27993,-97.8073
808,West Oak Loop@West Oak Drive,0.0,0.0,30.24355,-97.78509
809,West Oak@Slamar,22.0,0.0,30.2999,-97.74381
810,West Pointer@Pointer,0.0,0.0,30.36633,-97.71451
