Unique ID,Sample Number,Year,Street,Cross Street,"City,State",Full Address,Initials,Notes,Lead,Barium,Manganese,Zinc,Chromium,Arsenic,Copper,Mercury,Nickel,Selenium,Silver,Antimony,Cadimum,Iron
 1176B-2018, 1176B,2018,Townes Ln,Hillview,"Austin, TX","Townes Ln,Hillview,Austin, TX",MN,,22.29,,253.6,104.92,,8.15,0,,0,0,,,,11317.53
 1177A-2018, 1177A,2018,Arroyo Seco,Jim Hogg,"Austin, TX","Arroyo Seco,Jim Hogg,Austin, TX",SN,,31.93,,400.46,113.88,,0,24.53,,38.94,0,,,,10128.39
 1177B-2018, 1177B,2018,Fair Oaks,Plumas,"Austin, TX","Fair Oaks,Plumas,Austin, TX",SJZ,,64.24,,2563.06,172.21,,23.83,41.35,,57.83,0,,,,25728.74
 1178A-2018, 1178A,2018,Arroyo Seco,Jim Hogg,"Austin, TX","Arroyo Seco,Jim Hogg,Austin, TX",SN,,7.07,,229.66,94.26,,0,0,,0,0,,,,6723.53
 1178B-2018, 1178B,2018,9th st,Chicon,"Austin, TX","9th st,Chicon,Austin, TX",SN,,61.82,,226.11,122.72,,0,31.4,,0,0,,,,9926.73
 1179A-2018, 1179A,2018,46th,Burnet,"Austin, TX","46th,Burnet,Austin, TX",KC,,29.7,,413.13,89.3,,9.77,23.28,,0,0,,,,11168.87
 1179B-2018, 1179B,2018,Ladera Vista,Miramonte Cv,"Austin, TX","Ladera Vista,Miramonte Cv,Austin, TX",HZ,,21.95,,312.46,40.96,,0,0,,0,0,,,,11718.43
 1180A-2018, 1180A,2018,Meadowgreen Dr,Humington Dr,"Austin, TX","Meadowgreen Dr,Humington Dr,Austin, TX",YS,,0,,152.25,41.72,,0,17.68,,0,0,,,,5840.21
 1180B-2018, 1180B,2018,Hwy 84,Speegleville Rd,"Austin, TX","Hwy 84,Speegleville Rd,Austin, TX",LDW,,19.18,,788.45,93.95,,13.21,48.49,,0,0,,,,14586.78
1181-2018,1181,2018,Racoon Run,Silvermine Dr,"Austin, TX","Racoon Run,Silvermine Dr,Austin, TX",KW,,26.18,,243.86,241.61,,0,29.74,,46.18,0,,,,10175.92
 1181A-2018, 1181A,2018,Bouldin,Johanna,"Austin, TX","Bouldin,Johanna,Austin, TX",MN,,40.96,,340.12,115.44,,0,26.32,,0,0,,,,8879.25
1182-2018,1182,2018,Racoon Run,Silvermine Dr,"Austin, TX","Racoon Run,Silvermine Dr,Austin, TX",KW,,0,,231.89,115.83,,11.93,0,,0,0,,,,8550.65
 1182A-2018, 1182A,2018,Bouldin,Live Oak,"Austin, TX","Bouldin,Live Oak,Austin, TX",MN,,60.18,,344.01,104.38,,0,30.82,,0,0,,,,12075.58
 1183A-2018, 1183A,2018,Lovely Ln,Yucca Hill,"Austin, TX","Lovely Ln,Yucca Hill,Austin, TX",RF,,14.84,,272.27,64.88,,8.52,30.58,,0,0,,,,9350.71
 1183B-2018, 1183B,2018,Tracy Lynn Ln,E. Leslie Cir,"Austin, TX","Tracy Lynn Ln,E. Leslie Cir,Austin, TX",AB,,22.74,,312.11,44.15,,0,23.91,,0,0,,,,9440.29
1184-2018,1184,2018,LaCasa,Ann Arbor,"Austin, TX","LaCasa,Ann Arbor,Austin, TX",JKC,,0,,179.74,116.21,,0,69.95,,0,0,,,,5296.17
 1184A-2018, 1184A,2018,Meadowgreen Dr,Humington Dr,"Austin, TX","Meadowgreen Dr,Humington Dr,Austin, TX",HS,,0,,219.96,49.75,,0,22.05,,0,0,,,,6869.27
 1185A-2018, 1185A,2018,620,2222,"Austin, TX","620,2222,Austin, TX",DWS,,10.67,,262.65,71.44,,0,0,,0,0,,,,8887.03
 1185B-2018, 1185B,2018,Westloop,Halwill Pl,"Austin, TX","Westloop,Halwill Pl,Austin, TX",EL,,34.32,,192.09,94.49,,0,22.68,,0,0,,,,9966.78
 1186A-2018, 1186A,2018,45th st,Caswell,"Austin, TX","45th st,Caswell,Austin, TX",MM,,50.22,,277.06,108.72,,0,20.41,,0,0,,,,8752.27
 1186B-2018, 1186B,2018,Bradwood,Ardenwood,"Austin, TX","Bradwood,Ardenwood,Austin, TX",CK,,139.2,,430.37,224.47,,0,26.11,,0,0,,,,9944.75
1187-2018,1187,2018,Far West ,Waterline,"Austin, TX","Far West ,Waterline,Austin, TX",BR,,15.36,,341.69,82.14,,8.37,27.31,,0,0,,,,11942.38
 1187A-2018, 1187A,2018,10th St.,Theresa Ave,"Austin, TX","10th St.,Theresa Ave,Austin, TX",AC,,62,,171.07,136.7,,9.11,0,,48.95,0,,,,5371.4
 1188A-2018, 1188A,2018,Rodeo Dr,Slow Poke,"Austin, TX","Rodeo Dr,Slow Poke,Austin, TX",MDH,,0,,334.2,60.38,,7.34,26.02,,0,0,,,,11943.07
 1188B-2018, 1188B,2018,30th,Lamar,"Austin, TX","30th,Lamar,Austin, TX",JA,,37.94,,559.13,164.28,,0,53.52,,78.31,0,,,,29286.71
 1189A-2018, 1189A,2018,30th,Lamar,"Austin, TX","30th,Lamar,Austin, TX",JA,,7.92,,213.56,53.69,,0,0,,35,0,,,,7731.52
 1189B-2018, 1189B,2018,Melridge Pl,Bluebonnet Ln,"Austin, TX","Melridge Pl,Bluebonnet Ln,Austin, TX",LDR,,21.31,,259.39,75.87,,10.93,0,,47.2,0,,,,12038.72
1190-2018,1190,2018,Amherst ,Eton,"Austin, TX","Amherst ,Eton,Austin, TX",VL,,9.54,,295.47,78.69,,0,26.94,,0,0,,,,11410.85
 1190A-2018, 1190A,2018,Trail Crest Circ,Knob Oak,"Austin, TX","Trail Crest Circ,Knob Oak,Austin, TX",IC,,0,,201.78,69.32,,0,0,,0,0,,,,6922.38
1191-2018,1191,2018,Deen,N. Lamar,"Austin, TX","Deen,N. Lamar,Austin, TX",ARCH,,21.73,,606.38,56.08,,0,0,,0,0,,,,14350.65
1191-2018,1191,2018,Trail Crest Circ,Knob Oak,"Austin, TX","Trail Crest Circ,Knob Oak,Austin, TX",WB,,19.61,,352.79,80.98,,0,0,,0,0,,,,7776.51
1192-2018,1192,2018,Honey ,Marquette,"Austin, TX","Honey ,Marquette,Austin, TX",TS,,9.11,,269.85,67.81,,7.17,0,,62.47,0,,,,10937.45
 1192A-2018, 1192A,2018,21st,Salina St.,"Austin, TX","21st,Salina St.,Austin, TX",EDK,,68.45,,463.26,161.98,,0,38.24,,0,0,,,,11947.33
1193-2018,1193,2018,Golden Quail,Button Quail,"Austin, TX","Golden Quail,Button Quail,Austin, TX",FY,,19.44,,299.63,58.4,,0,0,,0,0,,,,10668.53
 1193A-2018, 1193A,2018,Limon Ln,S. 4th St.,"Austin, TX","Limon Ln,S. 4th St.,Austin, TX",RLM,,0,,258.2,96.66,,0,40.59,,0,0,,,,12387.03
1194-2018,1194,2018,Golden Quail,Button Quail,"Austin, TX","Golden Quail,Button Quail,Austin, TX",KCP,,11.31,,245.99,72.93,,0,22.22,,0,0,,,,9680.18
 1194A-2018, 1194A,2018,S. 4th St,Limon Ln,"Austin, TX","S. 4th St,Limon Ln,Austin, TX",DCB,,9,,289.75,82.32,,0,39.09,,0,0,,,,14727.29
1195-2018,1195,2018,Serene Hills Dr,Serene Hill Ct,"Austin, TX","Serene Hills Dr,Serene Hill Ct,Austin, TX",EH,,10.63,,265.89,111.37,,0,56.01,,0,0,,,,11352.15
 1196A-2018, 1196A,2018,Cornflower,Archaleta,"Austin, TX","Cornflower,Archaleta,Austin, TX",AD,,11.3,,211.81,21.49,,7.26,21.8,,0,0,,,,7509.81
 1196B-2018, 1196B,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,11.05,,180.43,32.06,,0,0,,0,0,,,,8107.98
 1197A-2018, 1197A,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,19.71,,173.45,63.42,,0,22.49,,0,0,,,,9796.39
 1197B-2018, 1197B,2018,W. 39 1/2,Peterson,"Austin, TX","W. 39 1/2,Peterson,Austin, TX",RJP,,32.92,,487.81,93.01,,0,0,,0,0,,,,12192.43
 1198A-2018, 1198A,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,9.54,,125.26,26.89,,0,0,,0,0,,,,4289.77
 1198B-2018, 1198B,2018,Rosedale,W. 39th 1/2,"Austin, TX","Rosedale,W. 39th 1/2,Austin, TX",KVL,,29.01,,580.8,68.47,,0,21.61,,0,0,,,,11976.73
1199-2018,1199,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,17.94,,124.83,25.94,,0,0,,0,0,,,,4070.83
 1199A-2018, 1199A,2018,Riverside,Newning,"Austin, TX","Riverside,Newning,Austin, TX",SKF,,14.23,,210.6,103.39,,0,24.2,,0,0,,,,8603.76
 1200A-2018, 1200A,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,34.92,,192.58,79.76,,0,0,,0,0,,,,9852.56
 1200B-2018, 1200B,2018,Newning,Riverside,"Austin, TX","Newning,Riverside,Austin, TX",DVL,,13.56,,254.15,67.95,,0,29.17,,0,0,,,,9412.87
 1201A-2018, 1201A,2018,Walker,Kemp St,"Austin, TX","Walker,Kemp St,Austin, TX",MA,,19.89,,164.69,120.02,,0,0,,0,0,,,,5075.97
 1201B-2018, 1201B,2018,Perez Street,JJ Seabrook Dr. ,"Austin, TX","Perez Street,JJ Seabrook Dr. ,Austin, TX",REL,,122.45,,272.08,260.1,,17.46,28.17,,0,0,,,,17761.82
 1202A-2018, 1202A,2018,Davis Ln,West Gate Blvd,"Austin, TX","Davis Ln,West Gate Blvd,Austin, TX",JP,,0,,226.5,20.28,,0,26.17,,0,0,,,,9422.52
 1202B-2018, 1202B,2018,Wethersby Way,Zeller Lane,"Austin, TX","Wethersby Way,Zeller Lane,Austin, TX",TJ,,0,,191.87,61.04,,7.89,38.51,,0,0,,,,7473.95
 1203A-2018, 1203A,2018,Perez Street,JJ Seabrook Dr. ,"Austin, TX","Perez Street,JJ Seabrook Dr. ,Austin, TX",REL,,15.84,,111.01,63.86,,9.66,0,,0,0,,,,15308.16
 1203B-2018, 1203B,2018,Reed Dr,Randolf,"Austin, TX","Reed Dr,Randolf,Austin, TX",PDN,,13.76,,280.65,206.22,,0,0,,0,0,,,,8263.25
1204-2018,1204,2018,One Oak Rd,Brush Country,"Austin, TX","One Oak Rd,Brush Country,Austin, TX",AS,,10.4,,195.49,32.91,,0,0,,0,0,,,,9316.24
 1204A-2018, 1204A,2018,Hatley,Inwood Cir,"Austin, TX","Hatley,Inwood Cir,Austin, TX",MS,,32.05,,678.29,69.92,,16.8,26.54,,0,0,,,,18975.21
1205-2018,1205,2018,Pincea Pl,Trail Ridge Pass,"Austin, TX","Pincea Pl,Trail Ridge Pass,Austin, TX",OIN,,9.05,,272.16,47.81,,0,0,,0,0,,,,9780.61
1205-2018,1205,2018,Dulac,Alvin High,"Austin, TX","Dulac,Alvin High,Austin, TX",NM,,8.55,,299.7,51.23,,0,24.3,,60.2,0,,,,11396.54
 1206A-2018, 1206A,2018,Trailhead Dr. ,Westlake Dr. ,"Austin, TX","Trailhead Dr. ,Westlake Dr. ,Austin, TX",PMG,,19.27,,366.03,94.75,,11.85,30.78,,0,0,,,,10684.01
 1206B-2018, 1206B,2018,Balcones Club,Crest Ridge Circle,"Austin, TX","Balcones Club,Crest Ridge Circle,Austin, TX",NM,,22.28,,273.41,69.95,,0,26.4,,41.54,0,,,,10722.93
 1207A-2018, 1207A,2018,Kingsland Way,Hester Rd,"Austin, TX","Kingsland Way,Hester Rd,Austin, TX",HS,,17.42,,310.31,79.06,,0,23.49,,0,0,,,,9701.68
 1207B-2018, 1207B,2018,Briar,Milton,"Austin, TX","Briar,Milton,Austin, TX",PMG,,29.11,,383.98,110.71,,0,23.2,,0,0,,,,10595.17
1208-2018,1208,2018,Pincea Pl,Trail Ridge Pass,"Austin, TX","Pincea Pl,Trail Ridge Pass,Austin, TX",OIN,,8.85,,280.36,68.21,,0,31.16,,0,0,,,,11921.4
1208-2018,1208,2018,Ballycastle Tr,Avery Ranch,"Austin, TX","Ballycastle Tr,Avery Ranch,Austin, TX",SE,,12.5,,264.15,52.81,,0,29.34,,53.71,0,,,,11010.22
1209-2018,1209,2018,Robinson,Concordia,"Austin, TX","Robinson,Concordia,Austin, TX",BJ,,38.66,,266.79,180.8,,0,40.26,,0,0,,,,8545.83
 1209A-2018, 1209A,2018,Travis County Circle,Canyonwood,"Austin, TX","Travis County Circle,Canyonwood,Austin, TX",CM,,12.22,,207.08,67.46,,0,0,,0,0,,,,6339.86
1210-2018,1210,2018,Creole Dr. ,Lamplight Village,"Austin, TX","Creole Dr. ,Lamplight Village,Austin, TX",SC,,0,,347.42,78.16,,0,21.02,,0,0,,,,7574.06
 1210A-2018, 1210A,2018,Travis County Circle,Canyonwood,"Austin, TX","Travis County Circle,Canyonwood,Austin, TX",KVS,,0,,214.19,74.98,,0,24.4,,0,0,,,,5048.27
1211-2018,1211,2018,Creole Dr. ,Lamplight Village,"Austin, TX","Creole Dr. ,Lamplight Village,Austin, TX",SC,,0,,250.33,60.89,,0,0,,0,0,,,,8019.75
 1211A-2018, 1211A,2018,Whispering Valley Dr,Misty Brook Dr,"Austin, TX","Whispering Valley Dr,Misty Brook Dr,Austin, TX",HMS,,8.63,,322.79,80.93,,7.07,28.53,,50.3,0,,,,10014.55
 1212A-2018, 1212A,2018,Mountaineer,Sugar Magnolia,"Austin, TX","Mountaineer,Sugar Magnolia,Austin, TX",JGW,,0,,194.06,74.04,,5.23,30.23,,0,0,,,,5991.09
 1212B-2018, 1212B,2018,Travis County Circle,Canyonwood,"Austin, TX","Travis County Circle,Canyonwood,Austin, TX",DKS,,0,,181.45,61.92,,0,34.01,,0,0,,,,4491.51
1213-2018,1213,2018,Swearingen,Wiginton,"Austin, TX","Swearingen,Wiginton,Austin, TX",IEC,,9.42,,179.1,73.61,,0,0,,0,0,,,,7781.99
 1213A-2018, 1213A,2018,Lemens Spice Trail,Four Irons,"Austin, TX","Lemens Spice Trail,Four Irons,Austin, TX",LC,,15.13,,337.15,94.68,,0,0,,0,0,,,,13556.17
1214-2018,1214,2018,Swearingen,Wiginton,"Austin, TX","Swearingen,Wiginton,Austin, TX",IEC,,8.63,,297.19,69.36,,0,27.5,,40.07,0,,,,16448.64
1215-2018,1215,2018,Lemens Spice Trail,4 Iron Dr. ,"Austin, TX","Lemens Spice Trail,4 Iron Dr. ,Austin, TX",AS,,15.07,,349.54,59.62,,0,25.08,,0,0,,,,10686.56
1216-2018,1216,2018,Lemens Spice Trail,Four Irons,"Austin, TX","Lemens Spice Trail,Four Irons,Austin, TX",AS,,0,,261.35,57.58,,5.33,22.85,,0,0,,,,7752.19
1217-2018,1217,2018,Lemens Spice Trail,Four Irons,"Austin, TX","Lemens Spice Trail,Four Irons,Austin, TX",AS,,8.61,,219.78,86.22,,0,35.4,,0,0,,,,7206.16
1218-2018,1218,2018,Trailcrest Circle,Knob Oak,"Austin, TX","Trailcrest Circle,Knob Oak,Austin, TX",TW,,0,,610.57,132.48,,4.57,21.94,,0,0,,,,6907.69
1219-2018,1219,2018,Trail Crest Circ,Knob Oak,"Austin, TX","Trail Crest Circ,Knob Oak,Austin, TX",MB,,0,,108.62,46.03,,0,0,,0,0,,,,6514.75
1220-2018,1220,2018,Scales ,Mattie,"Austin, TX","Scales ,Mattie,Austin, TX",JL,,0,,99.41,30.31,,0,0,,0,0,,,,3179.6
1221-2018,1221,2018,9th st,Henderson,"Austin, TX","9th st,Henderson,Austin, TX",KM,,45.88,,343.48,142.43,,0,38.08,,0,0,,,,9558.82
1222-2018,1222,2018,6th,West Ave,"Austin, TX","6th,West Ave,Austin, TX",JM,,29.2,,273.21,100.97,,0,27.88,,0,0,,,,8488.24
1223-2018,1223,2018,West Ave. ,9th,"Austin, TX","West Ave. ,9th,Austin, TX",RM,,64,,233.14,138.08,,0,0,,0,0,,,,8492.83
1224-2018,1224,2018,Woodrow,Brentwood,"Austin, TX","Woodrow,Brentwood,Austin, TX",JM,,35.88,,525.98,141.34,,0,0,,41.74,0,,,,13088.95
1225-2018,1225,2018,W. Lisa Dr,Isabelle,"Austin, TX","W. Lisa Dr,Isabelle,Austin, TX",PAW,,36.84,,356.03,396.08,,0,58.04,,53.13,0,,,,14928.05
1226-2018,1226,2018,47th,Avenue F,"Austin, TX","47th,Avenue F,Austin, TX",ZCR,,22.76,,249.16,73.68,,7.54,27.65,,0,0,,,,10344.46
1227-2018,1227,2018,Brodie,Bismark,"Austin, TX","Brodie,Bismark,Austin, TX",HS,,0,,76.46,24.87,,0,27.92,,0,0,,,,4185.41
1228-2018,1228,2018,Brodie,Bismark,"Austin, TX","Brodie,Bismark,Austin, TX",HS,,8.87,,134.81,18.39,,0,0,,0,0,,,,5759.93
1229-2018,1229,2018,Bickler,Academy,"Austin, TX","Bickler,Academy,Austin, TX",CPF,,134.48,,294.02,105.87,,0,0,,75.12,0,,,,13151.5
1230-2018,1230,2018,La Naranja Ln,Abilene Trl,"Austin, TX","La Naranja Ln,Abilene Trl,Austin, TX",JMS,,13.22,,654.89,57.67,,14.79,31.81,,0,0,,,,19343.45
1231-2018,1231,2018,MLK,Hilldale Dr,"Austin, TX","MLK,Hilldale Dr,Austin, TX",MH,,25.38,,396.77,386.92,,0,29.7,,0,0,,,,13647.9
1232-2018,1232,2018,Burnet,Koenig,"Austin, TX","Burnet,Koenig,Austin, TX",SF,,11.02,,282.28,104.08,,0,45.53,,0,0,,,,10669.25
1233-2018,1233,2018,Westmoor,Berkman Dr. ,"Austin, TX","Westmoor,Berkman Dr. ,Austin, TX",DL,,23.51,,344.52,107.59,,0,35.64,,0,0,,,,8336.91
1234-2018,1234,2018,Dinah Dr,Yvette Cv,"Austin, TX","Dinah Dr,Yvette Cv,Austin, TX",JL,,11.32,,227.46,39.46,,0,22.53,,0,0,,,,8195.75
1235-2018,1235,2018,Dinah Dr,Yvette Cv,"Austin, TX","Dinah Dr,Yvette Cv,Austin, TX",JL,,0,,310.46,16.59,,6.04,0,,0,0,,,,7681.14
1236-2018,1236,2018,Windsor,Lorrain,"Austin, TX","Windsor,Lorrain,Austin, TX",SS,,270.04,,326.3,237.94,,0,0,,0,0,,,,7947.52
1237-2018,1237,2018,Woodrow,Madison,"Austin, TX","Woodrow,Madison,Austin, TX",LI,,25.85,,450.97,168.07,,0,36.35,,0,0,,,,10694.61
1238-2018,1238,2018,Reagan Terrace,Kenwood,"Austin, TX","Reagan Terrace,Kenwood,Austin, TX",SHH,,22.04,,153.2,64.46,,10,0,,0,0,,,,6427.8
1239-2018,1239,2018,Atlanta ,Veterans,"Austin, TX","Atlanta ,Veterans,Austin, TX",JCM,,12.02,,233.98,44.42,,0,21.78,,0,0,,,,8233.24
1240-2018,1240,2018,Atlanta ,Veterans,"Austin, TX","Atlanta ,Veterans,Austin, TX",FAR,,23.16,,231.44,136.25,,20.82,34.44,,39.09,0,,,,7745.36
1241-2018,1241,2018,Fiskville Cemetary Rd,Rundberg,"Austin, TX","Fiskville Cemetary Rd,Rundberg,Austin, TX",DJD,,8.7,,385.75,95.65,,0,24.89,,0,0,,,,14499.58
1242-2018,1242,2018,28 1/2 ST,Salado St,"Austin, TX","28 1/2 ST,Salado St,Austin, TX",UFK,,63.51,,541.18,103.62,,15.71,26.86,,62.11,0,,,,17305.65
1243-2018,1243,2018,Ben Crenshaw,Whitemarsh,"Austin, TX","Ben Crenshaw,Whitemarsh,Austin, TX",PAC,,6.87,,234.92,62.1,,0,20.2,,0,0,,,,7269.8
1244-2018,1244,2018,Ben Crenshaw,Whitemarsh,"Austin, TX","Ben Crenshaw,Whitemarsh,Austin, TX",PAC,,11.8,,321.62,85.36,,8.71,27.37,,0,0,,,,13440.68
1245-2018,1245,2018,Greenlawn,Great Northern,"Austin, TX","Greenlawn,Great Northern,Austin, TX",AJL,,24.54,,513.65,43.12,,0,0,,0,0,,,,13541.73
1246-2018,1246,2018,Stardust,Shoal Creek,"Austin, TX","Stardust,Shoal Creek,Austin, TX",MHG,,21.53,,292.02,60.79,,0,0,,0,0,,,,12063.25
1247-2018,1247,2018,Stardust,Shoal Creek,"Austin, TX","Stardust,Shoal Creek,Austin, TX",MHG,,38.13,,405.48,204.84,,0,56.64,,0,0,,,,11893.8
1248-2018,1248,2018,Stardust,Shoal Creek,"Austin, TX","Stardust,Shoal Creek,Austin, TX",MHG,,24.87,,461.31,68.45,,7.66,0,,0,0,,,,13598.22
1249-2018,1249,2018,Larkwood Dr,Berkman Dr. ,"Austin, TX","Larkwood Dr,Berkman Dr. ,Austin, TX",JMB,,21.13,,343.38,94.49,,0,38.13,,0,0,,,,9648.91
1250-2018,1250,2018,Greenlee,Rockcrest,"Austin, TX","Greenlee,Rockcrest,Austin, TX",PES,,0,,200.38,43.77,,0,32.95,,0,0,,,,9070.87
1251-2018,1251,2018,A.W. Grimes,Thompson Trl,"Austin, TX","A.W. Grimes,Thompson Trl,Austin, TX",CES,,9.09,,227.07,63.04,,0,37.39,,0,0,,,,10164.47
1252-2018,1252,2018,Cushing Dr,School Days Dr,"Austin, TX","Cushing Dr,School Days Dr,Austin, TX",VES,,7.75,,322.43,59.75,,8.7,35.76,,0,0,,,,16308.6
1253-2018,1253,2018,Decker Ln,Duffan,"Austin, TX","Decker Ln,Duffan,Austin, TX",DES,,8.38,,181.26,46.64,,0,0,,0,0,,,,11978.06
1254-2018,1254,2018,Antero Dr,Steck,"Austin, TX","Antero Dr,Steck,Austin, TX",SH,,0,,348.25,65.67,,8.21,24.97,,0,0,,,,11433.87
1255-2018,1255,2018,Bloor Rd,Blue Bluff,"Austin, TX","Bloor Rd,Blue Bluff,Austin, TX",RB,,9.5,,335.04,35.52,,8.04,0,,0,0,,,,12782.08
1256-2018,1256,2018,St. Edwards Dr,Eastside Dr,"Austin, TX","St. Edwards Dr,Eastside Dr,Austin, TX",RB,,9.79,,608.86,53.52,,0,36.37,,167.53,0,,,,43165.27
1257-2018,1257,2018,Rollingwood Dr,Vale,"Austin, TX","Rollingwood Dr,Vale,Austin, TX",EC,,46.95,,417.17,76.77,,8.84,24.49,,0,0,,,,12967.34
1258-2018,1258,2018,Jamestown,Alden,"Austin, TX","Jamestown,Alden,Austin, TX",LP,,13.53,,287.73,90.07,,0,48,,0,0,,,,9938.11
1340-2018,1340,2018,Merriwood Dr,Craigmont Dr,"Austin, TX","Merriwood Dr,Craigmont Dr,Austin, TX",VB,,12.88,,240.64,71.97,,0,33.23,,44.3,0,,,,9066.31
1341-2018,1341,2018,Shoal Creek BLvd,Silverleaf Dr.,"Austin, TX","Shoal Creek BLvd,Silverleaf Dr.,Austin, TX",RDC,,6.38,,161.94,77.44,,0,23.63,,0,0,,,,3240.63
1342-2018,1342,2018,Shoal Creek BLvd,Silverleaf Dr.,"Austin, TX","Shoal Creek BLvd,Silverleaf Dr.,Austin, TX",RDC,,0,,169.67,87.93,,3.95,25.2,,0,0,,,,2295.76
1343-2018,1343,2018,Nile,Pleasant Valley,"Austin, TX","Nile,Pleasant Valley,Austin, TX",JW,,16.23,,404.61,97.15,,0,83.5,,0,0,,,,10234.86
1344-2018,1344,2018,Lone Oak Tr,Jones Rd,"Austin, TX","Lone Oak Tr,Jones Rd,Austin, TX",MB,,7.62,,313.35,135.85,,0,69.7,,0,0,,,,7150.74
1345-2018,1345,2018,Lone Oak Tr,Jones Rd,"Austin, TX","Lone Oak Tr,Jones Rd,Austin, TX",CW,,8.95,,304.88,79.92,,0,30.19,,0,0,,,,9004.58
1346-2018,1346,2018,Northeast,Leigh,"Austin, TX","Northeast,Leigh,Austin, TX",JS,,30.91,,290.59,73.26,,8.5,0,,0,0,,,,11545.36
1347-2018,1347,2018,Poquito ,Rosewood,"Austin, TX","Poquito ,Rosewood,Austin, TX",HG,,25.95,,235.04,103.59,,0,22.37,,0,0,,,,8939.77
1348-2018,1348,2018,Caira Cv,Scotland Well Dr,"Austin, TX","Caira Cv,Scotland Well Dr,Austin, TX",JZ,,0,,118.87,78.37,,0,32.11,,0,0,,,,1128.64
1349-2018,1349,2018,Caira Cv,Scotland Well Dr,"Austin, TX","Caira Cv,Scotland Well Dr,Austin, TX",JZ,,11.21,,123.18,53.42,,0,0,,0,0,,,,5125.25
1350-2018,1350,2018,Caira Cv,Scotland Well Dr,"Austin, TX","Caira Cv,Scotland Well Dr,Austin, TX",JZ,,0,,240.47,126.76,,0,60.58,,0,0,,,,5755.09
1351-2018,1351,2018,Caira Cv,Scotland Well Dr,"Austin, TX","Caira Cv,Scotland Well Dr,Austin, TX",JZ,,8.57,,307.64,75.42,,0,21.9,,0,0,,,,7777.79
1352-2018,1352,2018,Axis Cir,Vineyard Ridge,"Austin, TX","Axis Cir,Vineyard Ridge,Austin, TX",SL,,14.21,,317.56,74.9,,7.5,27.34,,0,0,,,,11156.39
1353-2018,1353,2018,Pickfair Dr,Spicewood Pkwy,"Austin, TX","Pickfair Dr,Spicewood Pkwy,Austin, TX",GL,,18.91,,255.3,106.56,,6.06,29.69,,0,0,,,,11854.83
1354-2018,1354,2018,E. Powell Ln,Georgian Dr,"Austin, TX","E. Powell Ln,Georgian Dr,Austin, TX",SG,,15.83,,202.77,74.78,,0,33.42,,0,0,,,,7271.94
1355-2018,1355,2018,Johanna St,S. 2nd St,"Austin, TX","Johanna St,S. 2nd St,Austin, TX",CW,,64.63,,209.94,156.69,,0,39.7,,0,0,,,,9622.23
1356-2018,1356,2018,Garner Ave,Ashby,"Austin, TX","Garner Ave,Ashby,Austin, TX",EL,,20.12,,283.56,122.8,,11.58,36.17,,0,0,,,,10324.51
1357-2018,1357,2018,Wild Briar Pass,Shannon Oaks,"Austin, TX","Wild Briar Pass,Shannon Oaks,Austin, TX",KEW,,10.7,,277.05,65.57,,0,25.74,,0,0,,,,10638.58
1358-2018,1358,2018,Clara St,Pedernales ,"Austin, TX","Clara St,Pedernales ,Austin, TX",AR ,,166.47,,340.45,201.65,,0,32.57,,0,0,,,,8311.28
1359-2018,1359,2018,Metcalfe Rd,Reeves,"Austin, TX","Metcalfe Rd,Reeves,Austin, TX",PJA,,0,,465.65,93.06,,8.99,26,,38.77,0,,,,15762.32
1360-2018,1360,2018,Forest Trail,Vista Ln,"Austin, TX","Forest Trail,Vista Ln,Austin, TX",RH,,14.05,,312.78,63.32,,0,0,,0,0,,,,10096.83
1361-2018,1361,2018,Perry Ln,Fairview,"Austin, TX","Perry Ln,Fairview,Austin, TX",DS,,26.67,,406.08,79.09,,18.86,0,,0,0,,,,18353
1362-2018,1362,2018,W. 9th,Henderson,"Austin, TX","W. 9th,Henderson,Austin, TX",MPO,,101.94,,241.44,159.78,,0,21.55,,0,0,,,,8681.95
1363-2018,1363,2018,W. 9th,Henderson,"Austin, TX","W. 9th,Henderson,Austin, TX",SAA,,23.77,,348.16,81.34,,0,42.69,,59.55,0,,,,13086.43
1364-2018,1364,2018,Oakwood Dr,Scurry St,"Austin, TX","Oakwood Dr,Scurry St,Austin, TX",AS,,8.75,,258.68,89.21,,7.83,0,,0,3.8,,,,10347.66
1365-2018,1365,2018,Spicewood Springs,Yaupon,"Austin, TX","Spicewood Springs,Yaupon,Austin, TX",SJ,,0,,234.73,35.87,,0,38.06,,0,0,,,,10958.09
1366-2018,1366,2018,Yaupon,Dianella,"Austin, TX","Yaupon,Dianella,Austin, TX",NN,,12.52,,337.66,34.92,,0,0,,52.86,0,,,,11735.85
1367-2018,1367,2018,Georgian,Walnut,"Austin, TX","Georgian,Walnut,Austin, TX",BDC,,18.57,,356.22,76.24,,0,0,,0,0,,,,13029.64
